mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20230416-1
mokutil 0.7.0-1
mpd 0.23.15-1
mpfr 4.2.1-2
mpg123 1.32.4-1
mpv 1:0.37.0-2
mtdev 1.1.6-2
mtools 1:4.0.43-1
mujs 1.3.4-1
mypaint-brushes1 1.3.1-1
ncmpcpp 0.9.2-16
ncurses 6.4_20230520-1
nettle 3.9.1-1
network-manager-applet 1.36.0-1
networkmanager 1.44.2-3
nftables 1:1.0.9-1
ninja 1.11.1-3
nitrogen 1.6.1-4
nm-connection-editor 1.36.0-1
noto-fonts-emoji 1:2.042-1
npth 1.6-4
nspr 4.35-2
nss 3.97-1
ntfs-3g 2022.10.3-1
numactl 2.0.18-1
nvidia 545.29.06-18
nvidia-settings 545.29.06-1
nvidia-utils 545.29.06-3
ocl-icd 2.3.2-1
ocs-url 3.1.0-7
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.2-1
openjpeg2 2.5.0-3
openmpi 5.0.2-2
openpmix 4.2.9-1
openssh 9.6p1-1
openssl 3.2.1-1
optimus-manager 1.5-4
opus 1.4-1
orc 0.4.37-1
os-prober 1.81-1
osfetch-rs 0.1.0-1
p11-kit 0.25.3-1
pacman 6.0.2-9
pacman-contrib 1.10.4-1
pacman-mirrorlist 20231001-1
pam 1.6.0-3
pambase 20230918-1
pandoc-cli 0.1.1.1-63
pango 1:1.51.2-1
pangomm 2.46.4-1
papirus-icon-theme 20240201-1
parted 3.6-1
paru 2.0.1-1
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pciutils 3.10.0-1
pcmanfm 1.3.2-1
pcre 8.45-4
pcre2 10.42-2
pcsclite 2.0.1-1
perl 5.38.2-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
picom 11.1-1
pinentry 1.2.1-3
pipewire 1:1.0.3-1
pipewire-audio 1:1.0.3-1
pipewire-jack-client 1:1.0.3-1
pixman 0.43.2-1
pkgconf 2.1.0-2
polkit 124-2
poppler 24.01.0-1
poppler-data 0.4.12-1
poppler-glib 24.01.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powerline-common 2.8.3-2
powerline-fonts 2.8.3-2
powertop 2.15-1
procps-ng 4.0.4-2
prrte 3.0.4-1
psmisc 23.6-1
pulseaudio 17.0-3
pulseaudio-alsa 1:1.2.7.1-2
pulseaudio-bluetooth 17.0-3
pulseaudio-equalizer 17.0-3
pulseaudio-jack 17.0-3
python 3.11.7-1
python-annotated-types 0.6.0-1
python-attrs 23.1.0-1
python-autocommand 2.2.2-4
python-build 1.0.3-1
python-cachecontrol 1:0.14.0-2
python-cachy 0.3.0-9
python-cairo 1.25.1-1
python-capng 0.8.4-1
python-cffi 1.16.0-1
python-charset-normalizer 3.3.2-1
